Date,Open,High,Low,Close,Adj Close,Volume
2014-03-10,28.884060,28.908091,28.139130,28.691820,27.837332,10485300
2014-03-11,28.811970,29.701080,28.643761,29.292570,28.420191,13457300
2014-03-12,29.004210,29.749140,28.956150,29.244511,28.373564,8031200
2014-03-13,29.316601,29.388691,28.307341,28.499580,27.650818,8471600
2014-03-14,28.643761,28.715851,27.898830,28.451521,27.604187,9538000
2014-03-17,28.595699,28.956150,28.451521,28.595699,27.744076,5053800
2014-03-18,28.643761,28.908091,28.451521,28.836000,27.977221,4163700
2014-03-19,28.860029,28.884060,28.259279,28.451521,27.604187,6638800
2014-03-20,28.355400,28.811970,28.163160,28.619730,27.767391,7132700
2014-03-21,29.004210,29.076300,28.691820,28.860029,28.000530,13490600
2014-03-24,28.980181,29.388691,28.691820,28.860029,28.000530,12023200
2014-03-25,28.980181,29.316601,28.860029,28.884060,28.023846,8753500
2014-03-26,29.100330,29.196449,28.475550,28.499580,27.650818,6110300
2014-03-27,29.292570,30.470039,29.124359,30.253771,29.352766,21034500
2014-03-28,30.470039,30.638250,29.797199,29.989441,29.096308,13978500
2014-03-31,30.085560,31.166910,30.061529,30.926611,30.005571,16545100
2014-04-01,31.118851,31.671539,30.734369,31.335119,30.401913,10195800
2014-04-02,30.758400,30.998699,30.542130,30.878550,29.958935,11020400
2014-04-03,30.830490,30.974670,30.494070,30.614220,29.702480,8788800
2014-04-04,30.782431,31.407209,30.301830,30.349890,29.446022,6826900
2014-04-07,30.373920,30.758400,29.701080,29.965410,29.072994,12659000
2014-04-08,30.085560,30.734369,29.725109,30.109591,29.212881,12304400
2014-04-09,31.407209,31.623480,30.830490,31.239000,30.308655,20759900
2014-04-10,31.239000,31.335119,30.470039,30.518101,29.609224,11097500
2014-04-11,30.109591,30.301830,29.653021,30.133619,29.236193,18771600
2014-04-14,30.157650,31.046761,30.037500,30.902580,29.982256,12348900
2014-04-15,30.782431,31.431240,30.542130,31.359150,30.425226,13426900
2014-04-16,31.503330,32.296322,31.431240,32.248260,31.287851,15332900
2014-04-17,32.440498,32.873039,32.104080,32.584679,31.614256,17050600
2014-04-21,32.560650,32.680801,32.344379,32.416470,31.451061,5728500
2014-04-22,32.416470,32.704830,32.152142,32.464531,31.497681,9866200
2014-04-23,32.464531,32.776920,32.272289,32.752892,31.777462,5263100
2014-04-24,32.824982,32.921101,32.584679,32.632740,31.660887,5118300
2014-04-25,32.464531,32.464531,31.767660,32.031990,31.078024,9556100
2014-04-28,32.152142,32.152142,31.359150,31.815720,30.868198,9038400
2014-04-29,31.911840,32.320351,31.671539,32.296322,31.334494,4555500
2014-04-30,32.200199,32.416470,32.104080,32.368408,31.404428,7976200
2014-05-01,32.320351,32.776920,32.152142,32.776920,31.800766,4727700
2014-05-02,32.849010,33.377670,32.728859,32.969158,31.987286,5326500
2014-05-05,32.728859,32.849010,32.392441,32.512589,31.544312,5046000
2014-05-06,32.512589,32.512589,31.959900,31.983931,31.031399,5463000
2014-05-07,32.031990,32.224232,31.695570,32.007961,31.054716,8235000
2014-05-08,31.911840,32.416470,31.791691,31.911840,31.031345,4925800
2014-05-09,31.959900,32.152142,31.671539,31.839750,30.961246,3960600
2014-05-12,32.296322,33.209461,32.272289,33.185429,32.269791,8388500
2014-05-13,33.353642,33.521851,32.969158,33.137371,32.223061,4666500
2014-05-14,33.161400,33.161400,32.512589,32.584679,31.685623,5834900
2014-05-15,32.464531,32.512589,31.479300,32.007961,31.124815,5554600
2014-05-16,31.959900,32.368408,31.671539,32.320351,31.428587,7003300
2014-05-19,32.176170,32.512589,32.176170,32.464531,31.568789,4970400
2014-05-20,32.200199,32.320351,31.287060,31.599449,30.727573,14509800
2014-05-21,31.791691,32.152142,31.359150,31.527361,30.657476,4428200
2014-05-22,31.767660,31.911840,31.551390,31.791691,30.914513,3381800
2014-05-23,31.719601,32.536621,31.671539,32.488560,31.592157,4594600
2014-05-27,32.488560,32.921101,32.344379,32.392441,31.498693,4820400
2014-05-28,32.344379,32.440498,32.056019,32.128109,31.241646,3886600
2014-05-29,32.152142,32.632740,32.007961,32.632740,31.732355,3161500
2014-05-30,32.464531,32.704830,32.224232,32.704830,31.802458,4010100
2014-06-02,33.089310,33.329609,32.536621,33.233490,32.316525,5901200
2014-06-03,33.017220,33.089310,32.536621,32.800949,31.895920,4472400
2014-06-04,32.704830,33.281551,32.536621,33.209461,32.293159,3288000
2014-06-05,33.161400,33.954391,32.993191,33.641998,32.713760,5330700
2014-06-06,33.521851,34.483051,33.497822,34.483051,33.531620,6615300
2014-06-09,34.459019,35.035740,34.266781,34.483051,33.531620,4745300
