Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL180420P00130000,2018-02-09 9:30AM EST,130,0.77,0.85,0.98,-0.3,-28.04%,3,"4,294",33.03%
AAPL180420P00135000,2018-02-09 9:32AM EST,135,1.44,1.32,1.45,-0.16,-10.00%,3,"4,490",31.40%
AAPL180420P00140000,2018-02-08 3:59PM EST,140,2.78,1.99,2.15,0,-,"8,168","16,020",29.94%
AAPL180420P00145000,2018-02-09 9:32AM EST,145,3,3,3.25,-1.05,-25.93%,2,"19,360",29.04%
AAPL180420P00150000,2018-02-09 9:34AM EST,150,4.48,4.4,4.65,-1.19,-20.99%,16,"31,947",27.74%
AAPL180420P00155000,2018-02-09 9:32AM EST,155,6.24,6.3,6.55,-1.76,-22.00%,31,"15,186",26.61%
AAPL180420P00160000,2018-02-09 9:32AM EST,160,8.6,8.65,8.95,-1.4,-14.00%,32,"17,563",25.38%
AAPL180420P00165000,2018-02-08 3:58PM EST,165,14.05,11.55,12,0,-,719,"17,844",24.49%
AAPL180420P00170000,2018-02-09 9:31AM EST,170,15.58,14.95,15.5,-1.14,-6.82%,2,"10,733",23.16%
AAPL180420P00175000,2018-02-09 9:30AM EST,175,20,18.9,19.5,-0.51,-2.49%,1,"13,788",21.68%
AAPL180420P00180000,2018-02-08 3:52PM EST,180,24.47,23,23.9,0,-,60,"4,772",19.68%
AAPL180420P00185000,2018-02-08 12:57PM EST,185,27.81,27.5,28.5,0,-,30,"1,955",0.00%
AAPL180420P00190000,2018-02-08 3:50PM EST,190,33.7,32.25,33.3,0,-,9,"2,065",0.00%
AAPL180420P00195000,2018-02-05 2:46PM EST,195,34.04,37.1,40.75,0,-,48,480,44.36%
AAPL180420P00200000,2018-02-05 2:15PM EST,200,38.91,41.95,43.15,0,-,60,"1,592",0.00%
AAPL180420P00205000,2018-02-05 2:18PM EST,205,44.23,47.1,50.85,0,-,804,443,51.54%
AAPL180420P00210000,2018-02-07 10:46AM EST,210,48.89,51.8,53.1,0,-,20,125,0.00%
AAPL180420P00215000,2018-02-06 2:32PM EST,215,56.75,56.8,58.15,0,-,10,712,0.00%
